"_c0",dayofmonth,deptime
SYR,1,1019
SYR,1,1050
SYR,1,1106
SYR,1,1227
SYR,1,1233
SYR,1,1236
SYR,1,1236
SYR,1,1304
SYR,1,1357
SYR,1,1431
SYR,1,1453
SYR,1,1454
SYR,1,1531
SYR,1,1559
SYR,1,1625
SYR,1,1640
SYR,1,1654
SYR,1,1754
SYR,1,1800
SYR,1,1820
SYR,1,1837
SYR,1,1844
SYR,1,2005
SYR,1,550
SYR,1,559
SYR,1,600
SYR,1,608
SYR,1,617
SYR,1,622
SYR,1,644
SYR,1,659
SYR,1,725
SYR,1,733
SYR,1,759
SYR,1,935
SYR,1,948
SYR,1,948
SYR,10,1015
SYR,10,1026
SYR,10,1039
SYR,10,1115
SYR,10,1133
SYR,10,1139
SYR,10,1224
SYR,10,1250
SYR,10,1258
SYR,10,1345
SYR,10,1411
SYR,10,1428
SYR,10,1440
SYR,10,1505
SYR,10,1601
SYR,10,1719
SYR,10,1739
SYR,10,1743
SYR,10,1759
SYR,10,1855
SYR,10,1921
SYR,10,600
SYR,10,605
SYR,10,629
SYR,10,631
SYR,10,700
SYR,10,701
SYR,10,708
SYR,10,728
SYR,10,845
SYR,10,909
SYR,10,955
SYR,11,1000
SYR,11,1020
SYR,11,1024
SYR,11,1036
SYR,11,1040
SYR,11,1149
SYR,11,1237
SYR,11,1241
SYR,11,1250
SYR,11,1250
SYR,11,1406
SYR,11,1429
SYR,11,1435
SYR,11,1457
SYR,11,1502
SYR,11,1527
SYR,11,1605
SYR,11,1631
SYR,11,1657
SYR,11,1706
SYR,11,1723
SYR,11,1757
SYR,11,1820
SYR,11,1830
SYR,11,1857
SYR,11,1902
SYR,11,558
SYR,11,620
SYR,11,620
SYR,11,636
SYR,11,642
SYR,11,702
SYR,11,719
SYR,11,905
SYR,11,912
SYR,11,947
SYR,12,1017
SYR,12,1018
SYR,12,1044
SYR,12,1142
SYR,12,1232
SYR,12,1250
SYR,12,1300
SYR,12,1314
SYR,12,1402
SYR,12,1420
SYR,12,1445
SYR,12,1450
SYR,12,1526
SYR,12,1531
SYR,12,1559
SYR,12,1644
SYR,12,1651
SYR,12,1714
SYR,12,1714
SYR,12,1800
SYR,12,1803
SYR,12,1811
SYR,12,1903
SYR,12,1904
SYR,12,553
SYR,12,559
SYR,12,605
SYR,12,624
SYR,12,637
SYR,12,644
SYR,12,652
SYR,12,659
SYR,12,708
SYR,12,725
SYR,12,915
SYR,12,915
SYR,12,953
SYR,12,956
SYR,13,1014
SYR,13,1023
SYR,13,1055
SYR,13,1115
SYR,13,1235
SYR,13,1241
SYR,13,1247
SYR,13,1250
SYR,13,1402
SYR,13,1424
SYR,13,1425
SYR,13,1450
SYR,13,1452
SYR,13,1527
SYR,13,1604
SYR,13,1624
SYR,13,1657
SYR,13,1709
SYR,13,1720
SYR,13,1800
SYR,13,1802
SYR,13,1811
SYR,13,1834
SYR,13,1853
SYR,13,554
SYR,13,605
SYR,13,621
SYR,13,627
SYR,13,636
SYR,13,643
SYR,13,655
SYR,13,658
SYR,13,708
SYR,13,719
SYR,13,912
SYR,13,915
SYR,14,1000
SYR,14,1009
SYR,14,1014
SYR,14,1024
SYR,14,1045
SYR,14,1112
SYR,14,1237
SYR,14,1245
SYR,14,1245
SYR,14,1359
SYR,14,1426
SYR,14,1455
SYR,14,1525
SYR,14,1611
SYR,14,1629
SYR,14,1644
SYR,14,1656
SYR,14,1710
SYR,14,1758
SYR,14,1803
SYR,14,1805
SYR,14,1808
SYR,14,1853
SYR,14,1910
SYR,14,600
SYR,14,600
SYR,14,605
SYR,14,620
SYR,14,626
SYR,14,635
SYR,14,653
SYR,14,706
SYR,14,736
SYR,14,748
SYR,14,910
SYR,14,950
SYR,15,1015
SYR,15,1030
SYR,15,1032
SYR,15,1207
SYR,15,1219
SYR,15,1233
SYR,15,1250
SYR,15,1250
SYR,15,1355
SYR,15,1422
SYR,15,1435
SYR,15,1454
SYR,15,1522
SYR,15,1529
SYR,15,1601
SYR,15,1604
SYR,15,1630
SYR,15,1645
SYR,15,1700
SYR,15,1759
SYR,15,1803
SYR,15,1809
SYR,15,1816
SYR,15,1836
SYR,15,558
SYR,15,600
SYR,15,601
SYR,15,625
SYR,15,646
SYR,15,647
SYR,15,706
SYR,15,707
SYR,15,720
SYR,15,752
SYR,15,916
SYR,15,954
SYR,16,1008
SYR,16,1017
SYR,16,1031
SYR,16,1042
SYR,16,1239
SYR,16,1248
SYR,16,1250
SYR,16,1253
SYR,16,1407
SYR,16,1424
SYR,16,1430
SYR,16,1502
SYR,16,1511
SYR,16,1532
SYR,16,1605
SYR,16,1627
SYR,16,1656
SYR,16,1725
SYR,16,1728
SYR,16,1800
SYR,16,1810
SYR,16,1838
SYR,16,1859
SYR,16,1904
SYR,16,555
SYR,16,558
SYR,16,622
SYR,16,624
SYR,16,625
SYR,16,635
SYR,16,648
SYR,16,659
SYR,16,708
SYR,16,725
SYR,16,916
SYR,16,920
SYR,17,1012
SYR,17,1031
SYR,17,1040
SYR,17,1105
SYR,17,1120
SYR,17,1240
SYR,17,1250
SYR,17,1349
SYR,17,1423
SYR,17,1430
SYR,17,1430
SYR,17,1518
SYR,17,1708
SYR,17,1710
SYR,17,1716
SYR,17,1735
SYR,17,1736
SYR,17,1803
SYR,17,1900
SYR,17,1909
SYR,17,555
SYR,17,555
SYR,17,629
SYR,17,655
SYR,17,655
SYR,17,713
SYR,17,756
SYR,17,759
SYR,17,913
SYR,17,954
SYR,18,1009
SYR,18,1014
SYR,18,1025
SYR,18,1034
SYR,18,1227
SYR,18,1234
SYR,18,1240
SYR,18,1250
SYR,18,1250
SYR,18,1422
SYR,18,1446
SYR,18,1452
SYR,18,1507
SYR,18,1513
SYR,18,1527
SYR,18,1607
SYR,18,1700
SYR,18,1753
SYR,18,1756
SYR,18,1757
SYR,18,1800
SYR,18,1850
SYR,18,1851
SYR,18,1904
SYR,18,2013
SYR,18,554
SYR,18,555
SYR,18,620
SYR,18,635
SYR,18,642
SYR,18,704
SYR,18,718
SYR,18,910
SYR,18,910
SYR,18,953
SYR,18,955
SYR,19,1000
SYR,19,1016
SYR,19,1035
SYR,19,1042
SYR,19,1140
SYR,19,1238
SYR,19,1244
SYR,19,1245
SYR,19,1320
SYR,19,1404
SYR,19,1427
SYR,19,1442
SYR,19,1450
SYR,19,1458
SYR,19,1539
SYR,19,1627
SYR,19,1628
SYR,19,1650
SYR,19,1700
SYR,19,1730
SYR,19,1803
SYR,19,1806
SYR,19,1808
SYR,19,1900
SYR,19,1903
SYR,19,600
SYR,19,600
SYR,19,604
SYR,19,615
SYR,19,631
SYR,19,642
SYR,19,652
SYR,19,653
SYR,19,706
SYR,19,804
SYR,19,911
SYR,19,915
SYR,2,1012
SYR,2,1018
SYR,2,1026
SYR,2,1049
SYR,2,1059
SYR,2,1121
SYR,2,1238
SYR,2,1259
SYR,2,1309
SYR,2,1356
SYR,2,1432
SYR,2,1458
SYR,2,1537
SYR,2,1603
SYR,2,1606
SYR,2,1652
SYR,2,1700
SYR,2,1704
SYR,2,1805
SYR,2,1811
SYR,2,1835
SYR,2,1842
SYR,2,1847
SYR,2,1857
SYR,2,1923
SYR,2,600
SYR,2,604
SYR,2,614
SYR,2,629
SYR,2,635
SYR,2,639
SYR,2,655
SYR,2,702
SYR,2,705
SYR,2,726
SYR,2,736
SYR,2,910
SYR,2,919
SYR,20,1010
SYR,20,1014
SYR,20,1037
SYR,20,1044
SYR,20,1117
SYR,20,1228
SYR,20,1234
SYR,20,1244
SYR,20,1245
SYR,20,1403
SYR,20,1424
SYR,20,1427
SYR,20,1452
SYR,20,1453
SYR,20,1526
SYR,20,1600
SYR,20,1650
SYR,20,1658
SYR,20,1710
SYR,20,1713
SYR,20,1754
SYR,20,1810
SYR,20,1830
SYR,20,1846
SYR,20,1854
SYR,20,600
SYR,20,604
SYR,20,619
SYR,20,620
SYR,20,628
SYR,20,633
SYR,20,650
SYR,20,651
SYR,20,706
SYR,20,717
SYR,20,908
SYR,20,915
SYR,20,954
SYR,21,1000
SYR,21,1007
SYR,21,1014
SYR,21,1043
SYR,21,1112
SYR,21,1227
SYR,21,1241
SYR,21,1250
SYR,21,1250
SYR,21,1418
SYR,21,1420
SYR,21,1420
SYR,21,1448
SYR,21,1459
SYR,21,1525
SYR,21,1603
SYR,21,1628
SYR,21,1642
SYR,21,1658
SYR,21,1702
SYR,21,1755
SYR,21,1803
SYR,21,1846
SYR,21,1853
SYR,21,1952
SYR,21,552
SYR,21,558
SYR,21,600
SYR,21,620
SYR,21,623
SYR,21,636
SYR,21,643
SYR,21,652
SYR,21,710
SYR,21,717
SYR,21,914
SYR,21,915
SYR,21,950
SYR,22,1000
SYR,22,1043
SYR,22,1048
SYR,22,1057
SYR,22,1112
SYR,22,1231
SYR,22,1244
SYR,22,1247
SYR,22,1301
SYR,22,1407
SYR,22,1428
SYR,22,1430
SYR,22,1451
SYR,22,1502
SYR,22,1603
SYR,22,1603
SYR,22,1631
SYR,22,1653
SYR,22,1658
SYR,22,1709
SYR,22,1802
SYR,22,1806
SYR,22,1830
SYR,22,1848
SYR,22,1912
SYR,22,600
SYR,22,600
SYR,22,600
SYR,22,620
SYR,22,637
SYR,22,645
SYR,22,653
SYR,22,709
SYR,22,721
SYR,22,905
SYR,22,912
SYR,22,957
SYR,23,1010
SYR,23,1015
SYR,23,1020
SYR,23,1040
SYR,23,1109
SYR,23,1238
SYR,23,1245
SYR,23,1310
SYR,23,1403
SYR,23,1405
SYR,23,1451
SYR,23,1512
SYR,23,1528
SYR,23,1602
SYR,23,1641
SYR,23,1700
SYR,23,1720
SYR,23,1724
SYR,23,1750
SYR,23,1757
SYR,23,1805
SYR,23,1835
SYR,23,1858
SYR,23,1903
SYR,23,1935
SYR,23,557
SYR,23,558
SYR,23,600
SYR,23,610
SYR,23,625
SYR,23,632
SYR,23,646
SYR,23,655
SYR,23,708
SYR,23,723
SYR,23,910
SYR,23,915
SYR,23,955
SYR,24,1013
SYR,24,1035
SYR,24,1040
SYR,24,1059
SYR,24,1129
SYR,24,1228
SYR,24,1242
SYR,24,1250
SYR,24,1346
SYR,24,1413
SYR,24,1440
SYR,24,1452
SYR,24,1523
SYR,24,1604
SYR,24,1637
SYR,24,1700
SYR,24,1711
SYR,24,1840
SYR,24,1900
SYR,24,1901
SYR,24,559
SYR,24,605
SYR,24,620
SYR,24,620
SYR,24,633
SYR,24,648
SYR,24,655
SYR,24,705
