"_c0",dayofmonth,arrtime
SYR,1,1018
SYR,1,1026
SYR,1,1048
SYR,1,1139
SYR,1,1200
SYR,1,1228
SYR,1,1301
SYR,1,1404
SYR,1,1404
SYR,1,1410
SYR,1,1425
SYR,1,1505
SYR,1,1542
SYR,1,1606
SYR,1,1610
SYR,1,1658
SYR,1,1735
SYR,1,1753
SYR,1,1808
SYR,1,1808
SYR,1,1824
SYR,1,1939
SYR,1,2010
SYR,1,2014
SYR,1,2056
SYR,1,2107
SYR,1,2141
SYR,1,2157
SYR,1,2202
SYR,1,2219
SYR,1,2221
SYR,1,2250
SYR,1,2254
SYR,1,2340
SYR,1,2343
SYR,1,912
SYR,1,930
SYR,10,1002
SYR,10,1047
SYR,10,1050
SYR,10,1056
SYR,10,1143
SYR,10,1224
SYR,10,1311
SYR,10,1317
SYR,10,1351
SYR,10,1355
SYR,10,1416
SYR,10,1514
SYR,10,1613
SYR,10,1638
SYR,10,1657
SYR,10,1713
SYR,10,1714
SYR,10,1740
SYR,10,1819
SYR,10,1852
SYR,10,1906
SYR,10,1918
SYR,10,2055
SYR,10,2107
SYR,10,2211
SYR,10,2212
SYR,10,2213
SYR,10,2216
SYR,10,2248
SYR,10,2349
SYR,10,847
SYR,10,947
SYR,11,1
SYR,11,1003
SYR,11,1055
SYR,11,1107
SYR,11,1139
SYR,11,1218
SYR,11,1329
SYR,11,1353
SYR,11,1358
SYR,11,1405
SYR,11,1415
SYR,11,1444
SYR,11,1533
SYR,11,1605
SYR,11,1609
SYR,11,1617
SYR,11,1625
SYR,11,1658
SYR,11,1730
SYR,11,1800
SYR,11,1819
SYR,11,1834
SYR,11,1841
SYR,11,1958
SYR,11,2103
SYR,11,2147
SYR,11,2207
SYR,11,2223
SYR,11,2240
SYR,11,2256
SYR,11,2320
SYR,11,30
SYR,11,840
SYR,11,927
SYR,11,956
SYR,12,1008
SYR,12,1049
SYR,12,1143
SYR,12,1159
SYR,12,1218
SYR,12,1235
SYR,12,1319
SYR,12,1342
SYR,12,1417
SYR,12,1423
SYR,12,1423
SYR,12,1453
SYR,12,1521
SYR,12,1613
SYR,12,1618
SYR,12,1622
SYR,12,1636
SYR,12,1707
SYR,12,1718
SYR,12,1740
SYR,12,1820
SYR,12,1825
SYR,12,1844
SYR,12,2003
SYR,12,21
SYR,12,2105
SYR,12,2119
SYR,12,2123
SYR,12,2140
SYR,12,2157
SYR,12,2233
SYR,12,2326
SYR,12,2328
SYR,12,2333
SYR,12,849
SYR,12,921
SYR,12,930
SYR,12,948
SYR,13,1036
SYR,13,1040
SYR,13,1040
SYR,13,1054
SYR,13,1153
SYR,13,1218
SYR,13,1312
SYR,13,1346
SYR,13,1352
SYR,13,1402
SYR,13,1418
SYR,13,1429
SYR,13,1516
SYR,13,1556
SYR,13,1617
SYR,13,1639
SYR,13,1645
SYR,13,1704
SYR,13,1740
SYR,13,1745
SYR,13,1810
SYR,13,1819
SYR,13,1822
SYR,13,1954
SYR,13,2046
SYR,13,2100
SYR,13,2125
SYR,13,2210
SYR,13,2212
SYR,13,2230
SYR,13,2232
SYR,13,2307
SYR,13,2400
SYR,13,4
SYR,13,845
SYR,13,920
SYR,13,921
SYR,13,949
SYR,14,1006
SYR,14,1033
SYR,14,12
SYR,14,1225
SYR,14,1229
SYR,14,1309
SYR,14,1338
SYR,14,1352
SYR,14,1356
SYR,14,1408
SYR,14,1435
SYR,14,1601
SYR,14,1605
SYR,14,1613
SYR,14,1621
SYR,14,1630
SYR,14,1650
SYR,14,1719
SYR,14,1740
SYR,14,1811
SYR,14,1845
SYR,14,20
SYR,14,2021
SYR,14,2025
SYR,14,2052
SYR,14,2154
SYR,14,2212
SYR,14,2222
SYR,14,2234
SYR,14,2310
SYR,14,2330
SYR,14,7
SYR,14,854
SYR,14,921
SYR,14,935
SYR,14,947
SYR,14,949
SYR,15,1120
SYR,15,1140
SYR,15,1151
SYR,15,1229
SYR,15,1324
SYR,15,1328
SYR,15,1348
SYR,15,1351
SYR,15,1414
SYR,15,1453
SYR,15,1518
SYR,15,1522
SYR,15,1602
SYR,15,1619
SYR,15,1620
SYR,15,1653
SYR,15,1745
SYR,15,1750
SYR,15,1757
SYR,15,1811
SYR,15,1821
SYR,15,1828
SYR,15,2030
SYR,15,2109
SYR,15,2110
SYR,15,2201
SYR,15,2220
SYR,15,2222
SYR,15,2242
SYR,15,2243
