flightnum,diverted_date,origin,dest
1,11/5/2005,ORD,HNL
1,11/4/2005,ORD,HNL
1,12/19/2004,IAD,TPA
1,10/9/2007,FLL,JFK
1,10/14/2007,DCA,SEA
1,11/23/2007,ORD,HNL
1,12/20/2007,SEA,ANC
1,9/14/2007,DCA,SEA
1,10/22/2007,AUS,ONT
1,5/7/2007,ORD,HNL
1,2/9/2007,IAH,HNL
1,3/6/2007,ORD,HNL
1,5/6/2006,PHX,ORD
1,2/18/2006,DCA,SEA
1,1/3/2006,ORD,HNL
1,3/15/2006,ORD,HNL
1,12/7/2008,LAX,HNL
1,12/20/2008,LAX,HNL
1,6/6/2004,ORD,HNL
1,10/6/2004,ORD,HNL
1,6/19/2004,JFK,FLL
1,1/31/2008,DAL,HOU
1,3/8/2008,PHL,CMH
1,3/6/2008,JFK,FLL
1,3/31/2008,PHX,ORD
1,2/25/2008,DAL,HOU
1,4/11/2008,LAX,HNL
1,12/31/2006,JFK,LAX
1,10/3/2006,ORD,HNL
1,12/14/2006,DAL,HOU
1,10/15/2006,DCA,SEA
1,2/25/2004,JFK,FLL
1,6/2/2005,JFK,FLL
1,6/11/2005,JFK,FLL
1,7/9/2008,JFK,LAX
1,6/8/2008,PHX,ORD
1,6/14/2008,ORD,HNL
1,8/22/2008,JFK,FLL
1,2/21/2005,PIT,LAX
1,8/7/2006,PIT,LAX
1,5/15/2006,JFK,FLL
1,9/13/2006,DCA,SEA
1,8/18/2006,PIT,LAX
1,5/9/2007,FLL,JFK
1,8/16/2007,DAL,HOU
1,9/28/2007,ORD,HNL
1,7/20/2007,HOU,TPA
1,6/28/2007,FLL,JFK
1,8/17/2007,FLL,JFK
10,8/9/2007,STL,MCI
10,9/9/2007,DAL,AMA
10,7/18/2007,LAX,JFK
10,6/28/2007,ONT,MCI
10,8/8/2007,ONT,STL
10,10/21/2004,MSY,HOU
10,11/13/2007,MAF,ABQ
10,12/12/2004,LAX,PIT
10,11/1/2004,CRP,HOU
10,12/16/2008,MCI,MDW
10,5/30/2007,HOU,DAL
10,1/14/2007,HOU,DAL
10,1/27/2007,LAX,JFK
10,1/4/2006,CRP,HOU
10,7/27/2006,SFO,JFK
10,7/12/2006,SFO,JFK
10,7/25/2006,ORD,PHX
