flightnum,origin,dest
469,MSY,LAX
473,ORD,SNA
519,ORD,SEA
521,ICT,DEN
535,ORD,DFW
546,BOI,ORD
583,BOS,DEN
601,DCA,ORD
704,SFO,PDX
725,ATL,ORD
741,ORD,PDX
741,ORD,SLC
875,DEN,SEA
906,DEN,EWR
906,DEN,EWR
966,SAN,SFO
1017,ORD,SLC
1069,ORD,BOI
1071,ORD,TUS
1071,ORD,TUS
1084,ORD,PHL
1126,MSP,ORD
1133,ORD,PDX
1155,DAY,ORD
1214,ORD,MHT
1271,PVD,ORD
1403,ORD,SLC
1462,SNA,ORD
1473,DEN,PDX
1520,DEN,DSM
1580,SNA,SFO
124,CLT,BDL
457,BNA,CLT
478,BNA,CLT
809,ORD,CLT
809,ORD,CLT
845,PVD,CLT
965,SYR,CLT
982,ATL,CLT
1014,MSP,CLT
1099,BWI,CLT
1111,RSW,CLT
1203,IAD,CLT
1231,PHL,CLT
1244,IND,CLT
1254,MCI,CLT
1455,CMH,CLT
2029,BOS,DCA
79,CLT,EGE
79,CLT,EGE
163,PHL,EGE
857,PHL,FLL
1456,DCA,FLL
633,PHL,LAS
17,PHL,LAX
17,PHL,LAX
1471,PHL,MHT
850,PHL,MSY
1443,PHL,ORD
64,LAX,PHL
86,SAN,PHL
164,EGE,PHL
196,SFO,PHL
196,SFO,PHL
410,CMH,PHL
449,PWM,PHL
473,BOS,PHL
599,ORF,PHL
1109,ALB,PHL
1162,JAX,PHL
1468,IAH,PHL
1482,MCI,PHL
136,DEN,PIT
1262,PHL,PIT
792,PHL,PWM
269,PHL,RSW
91,PHL,SAN
91,PHL,SAN
105,PHL,SEA
107,PHL,SEA
115,PHL,SEA
63,PHL,SFO
63,PHL,SFO
63,PHL,SFO
73,PIT,SFO
197,PHL,SFO
197,PHL,SFO
201,PHL,SFO
2526,ABQ,DAL
902,ABQ,LAS
216,ABQ,LAX
29,ABQ,LBB
1031,ABQ,MDW
2865,ALB,LAS
1183,ALB,MCO
5,AMA,DAL
325,AUS,HOU
211,BDL,BWI
278,BDL,BWI
791,BDL,MDW
102,BHM,BWI
983,BHM,MDW
1250,BHM,SDF
1929,BHM,SDF
1603,BNA,BWI
2258,BNA,BWI
546,BNA,CLE
1640,BNA,ISP
115,BNA,LAX
2419,BNA,MDW
1208,BNA,MHT
755,BNA,ONT
1954,BOI,SLC
856,BWI,BHM
459,BWI,BNA
135,BWI,MCI
1018,BWI,MDW
1829,BWI,MDW
2422,BWI,MDW
2422,BWI,MDW
2422,BWI,MDW
2599,BWI,MHT
2563,BWI,ORF
1450,BWI,PHX
2006,BWI,PHX
134,CLE,MDW
134,CLE,MDW
574,CLE,MDW
880,CLE,MDW
1965,CLE,MDW
2482,CLE,MDW
1059,CLE,PHX
775,CMH,MDW
2466,CMH,STL
138,CMH,TPA
42,CRP,HOU
42,CRP,HOU
1187,DAL,AUS
201,DAL,HOU
417,DTW,MDW
1019,DTW,MDW
1823,DTW,MDW
605,DTW,STL
2274,ELP,DAL
1773,ELP,PHX
803,ELP,SAT
655,FLL,BWI
1326,FLL,ISP
516,FLL,JAX
2676,GEG,BOI
1084,GEG,PDX
1084,GEG,PDX
1084,GEG,PDX
1709,GEG,PDX
1709,GEG,PDX
1733,GEG,PDX
1733,GEG,PDX
1733,GEG,PDX
624,GEG,SEA
2,HOU,DAL
4,HOU,DAL
26,HOU,DAL
50,HOU,DAL
1106,HOU,MDW
2257,HOU,OKC
2257,HOU,OKC
2461,HOU,OKC
371,HOU,STL
1820,HOU,STL
1569,IND,BWI
281,IND,MDW
1160,IND,MDW
1860,JAN,BWI
269,JAN,MDW
2039,JAN,MDW
2351,JAX,BWI
896,LAS,BUR
1613,LAS,MCI
913,LAS,MDW
1225,LAS,MDW
2774,LAS,RNO
2408,LAS,SDF
1621,LAS,SJC
1621,LAS,SJC
1131,LAX,MDW
1449,LAX,RNO
576,LAX,SMF
53,LBB,DAL
7,LIT,DAL
23,LIT,DAL
903,MCI,MDW
1703,MCI,MDW
1979,MCI,MDW
2044,MCI,MDW
2390,MCI,MDW
2546,MCI,MDW
636,MCI,OKC
1965,MCI,OKC
2257,MCI,STL
2656,MCO,BDL
1855,MCO,BWI
952,MCO,SDF
268,MDW,BHM
903,MDW,BWI
903,MDW,BWI
2768,MDW,BWI
2768,MDW,BWI
1980,MDW,LAS
554,MDW,SDF
808,MDW,SDF
1792,MDW,SDF
1745,MDW,STL
2353,MDW,STL
1846,MHT,BWI
2913,MHT,BWI
2913,MHT,BWI
1921,MSY,DAL
2532,MSY,DAL
1092,OAK,BUR
801,OAK,GEG
1233,OAK,MDW
1328,OAK,PDX
2675,OAK,PDX
2137,OMA,MDW
2628,OMA,MDW
2628,OMA,MDW
619,ONT,SMF
619,ONT,SMF
2604,ONT,SMF
206,PHX,BUR
2675,PHX,BUR
2675,PHX,BUR
508,PHX,DTW
1853,PHX,MDW
1615,PHX,OKC
1589,PHX,ONT
1589,PHX,ONT
1589,PHX,ONT
2538,PHX,ONT
185,PHX,RNO
313,PHX,RNO
2206,PHX,STL
504,PHX,TUL
642,PVD,MDW
717,PVD,TPA
589,RDU,MDW
2967,RNO,PDX
2967,RNO,PDX
2967,RNO,PDX
1060,SAN,MDW
1060,SAN,MDW
1804,SAN,MDW
125,SAN,SJC
888,SAN,SMF
1614,SAN,SMF
176,SAT,DAL
1258,SDF,MDW
