b: {FlightNum: int,Origin: chararray,Dest: chararray,Diverted: int}
(469,MSY,LAX,1)
(535,ORD,DFW,1)
(741,ORD,SLC,1)
(906,DEN,EWR,1)
(906,DEN,EWR,1)
(1462,SNA,ORD,1)
(457,BNA,CLT,1)
(982,ATL,CLT,1)
(1099,BWI,CLT,1)
(1203,IAD,CLT,1)
(1471,PHL,MHT,1)
(410,CMH,PHL,1)
(473,BOS,PHL,1)
(1109,ALB,PHL,1)
(136,DEN,PIT,1)
(792,PHL,PWM,1)
(278,BDL,BWI,1)
(102,BHM,BWI,1)
(2419,BNA,MDW,1)
(1208,BNA,MHT,1)
(856,BWI,BHM,1)
(459,BWI,BNA,1)
(135,BWI,MCI,1)
(1450,BWI,PHX,1)
(2006,BWI,PHX,1)
(1059,CLE,PHX,1)
(2466,CMH,STL,1)
(138,CMH,TPA,1)
(42,CRP,HOU,1)
(42,CRP,HOU,1)
(1187,DAL,AUS,1)
(655,FLL,BWI,1)
(2676,GEG,BOI,1)
(1084,GEG,PDX,1)
(1084,GEG,PDX,1)
(1084,GEG,PDX,1)
(1709,GEG,PDX,1)
(1709,GEG,PDX,1)
(624,GEG,SEA,1)
(50,HOU,DAL,1)
(371,HOU,STL,1)
(1820,HOU,STL,1)
(2351,JAX,BWI,1)
(913,LAS,MDW,1)
(1225,LAS,MDW,1)
(2408,LAS,SDF,1)
(1449,LAX,RNO,1)
(7,LIT,DAL,1)
(1703,MCI,MDW,1)
(1979,MCI,MDW,1)
(952,MCO,SDF,1)
(903,MDW,BWI,1)
(903,MDW,BWI,1)
(2768,MDW,BWI,1)
(2768,MDW,BWI,1)
(554,MDW,SDF,1)
(1792,MDW,SDF,1)
(1745,MDW,STL,1)
(2353,MDW,STL,1)
(1921,MSY,DAL,1)
(2532,MSY,DAL,1)
(1092,OAK,BUR,1)
(1328,OAK,PDX,1)
(619,ONT,SMF,1)
(619,ONT,SMF,1)
(2604,ONT,SMF,1)
(2675,PHX,BUR,1)
(2675,PHX,BUR,1)
(1589,PHX,ONT,1)
(1589,PHX,ONT,1)
(1589,PHX,ONT,1)
(185,PHX,RNO,1)
(313,PHX,RNO,1)
(642,PVD,MDW,1)
(125,SAN,SJC,1)
(1213,SEA,OAK,1)
(1821,SEA,OAK,1)
(352,SJC,BUR,1)
(2484,SJC,LAX,1)
(472,STL,MDW,1)
(2046,TPA,MDW,1)
(2046,TPA,MDW,1)
(2574,TUL,STL,1)
(698,DTW,MSN,1)
(887,BOS,MKE,1)
(927,SEA,OGG,1)
(927,SEA,OGG,1)
(927,SEA,OGG,1)
(981,MEM,SEA,1)
(986,MIA,DTW,1)
(988,MIA,DTW,1)
(1107,DTW,LAX,1)
(1485,MSP,MSO,1)
(1485,MSP,MSO,1)
(1485,MSP,MSO,1)
(1603,SRQ,DTW,1)
(1617,SJU,DTW,1)
(1627,MSP,JAC,1)
(1627,MSP,JAC,1)
(1774,DTW,PHL,1)
(5022,FLL,RIC,1)
(5437,JAX,JFK,1)
(5837,ATL,CVG,1)
(5943,HLN,PIH,1)
(5708,AZO,DAY,1)
(5069,ATL,CVG,1)
(5713,CVG,ABE,1)
(5018,GSO,JFK,1)
(5037,CVG,JFK,1)
(5138,CAE,JFK,1)
(5514,RDU,JFK,1)
(5551,PWM,JFK,1)
(5720,BTV,CMH,1)
(5672,DSM,BNA,1)
(5878,OKC,ICT,1)
(5068,CVG,TUL,1)
(5524,SRQ,IND,1)
(5586,MDT,CVG,1)
(5604,SAV,HTS,1)
(5866,OMA,LEX,1)
(5393,DCA,ORF,1)
(5481,DCA,CHO,1)
(5165,FNT,CHA,1)
(6892,DEN,MLI,1)
(3891,GTF,TWF,1)
(6080,SAN,ONT,1)
(3655,SGU,IDA,1)
(3803,OKC,TWF,1)
(3829,SAN,TWF,1)
(6279,DEN,MTJ,1)
(3867,SLC,HLN,1)
(3661,SLC,MTJ,1)
(3663,SLC,MTJ,1)
(3664,SLC,MTJ,1)
(3666,SLC,MTJ,1)
(3877,SLC,GTF,1)
(3606,SLC,IDA,1)
(3643,RNO,SLC,1)
(3991,BOI,GJT,1)
(4005,SMF,TWF,1)
(6010,ACV,SFO,1)
(6011,SMF,CEC,1)
(3834,FCA,PIH,1)
(3665,SLC,MTJ,1)
(3900,SLC,BZN,1)
(3948,ONT,PSP,1)
(6638,BIS,GJT,1)
(3226,BDL,EWR,1)
(2823,GSO,IAH,1)
(2463,IAH,BRO,1)
(2845,IAH,DSM,1)
(2640,EWR,DAB,1)
(2601,EWR,XNA,1)
(2556,EWR,OKC,1)
(2516,SAV,IAH,1)
(2349,IAH,BRO,1)
(3328,IAH,VPS,1)
(7,EWR,SFO,1)
(344,DEN,MDW,1)
(344,IND,MDW,1)
(537,MCO,MDW,1)
(80,LAX,EWR,1)
(104,LAX,ORD,1)
(275,MCO,LAX,1)
(369,DEN,PDX,1)
(402,DEN,LGA,1)
(435,MIA,DEN,1)
(450,DEN,DFW,1)
(576,SJC,ATL,1)
(1721,RIC,ATL,1)
(1864,RIC,CVG,1)
(1714,CVG,RDU,1)
(2099,EWR,SLC,1)
(250,SFO,ATL,1)
(752,DFW,BOS,1)
(2473,BOS,FLL,1)
(214,EGE,ATL,1)
(323,LGA,CVG,1)
(899,BDL,CVG,1)
(1683,BOS,CVG,1)
(1707,ATL,DEN,1)
(2035,CLE,ATL,1)
(541,LAX,OGG,1)
(1852,HNL,LAX,1)
(1910,SAN,CVG,1)
(197,ATL,SEA,1)
(215,ATL,EGE,1)
(4135,ATL,VPS,1)
(4135,ATL,VPS,1)
(4141,ATL,PNS,1)
(4191,ONT,SLC,1)
(4273,AEX,DFW,1)
(4344,SDF,DFW,1)
(4453,CAE,DFW,1)
(4615,VPS,DFW,1)
(4739,LEX,DFW,1)
(4766,RDU,DFW,1)
(4766,RDU,DFW,1)
(4777,ORD,DFW,1)
(4826,AUS,DFW,1)
(824,ATL,MDW,1)
(30,ATL,MDW,1)
(224,MCO,ATL,1)
(544,HNL,LNY,1)
(587,PHX,GEG,1)
(158,PHX,STL,1)
(688,EWR,PHX,1)
(457,MCI,PHX,1)
(587,PHX,GEG,1)
(409,BOS,LAX,1)
(583,PHX,GEG,1)
(592,PHX,MCI,1)
(3202,SBA,LAX,1)
(3530,CLE,DFW,1)
(3539,DFW,GRR,1)
(3587,DFW,OKC,1)
(3604,FWA,DFW,1)
(3604,FWA,DFW,1)
(3640,GSP,DFW,1)
(3745,DFW,GSP,1)
(3778,TYS,DFW,1)
(4002,ORD,CLT,1)
(4019,ORD,BUF,1)
(4041,ORD,DBQ,1)
(4100,RIC,ORD,1)
(4114,PIT,ORD,1)
(4136,IAD,ORD,1)
(4321,ORD,MDT,1)
(4389,ORD,RST,1)
(4399,ROC,ORD,1)
(4547,BOS,DCA,1)
(4887,LGA,XNA,1)
(250,DTW,FLL,1)
(263,DTW,PHX,1)
(378,CLE,DTW,1)
(408,DFW,MSP,1)
(44,SFO,JFK,1)
(59,JFK,SFO,1)
(281,JFK,SNA,1)
(281,JFK,SNA,1)
(432,TUS,DFW,1)
(607,ORD,ABQ,1)
(728,DFW,LGA,1)
(753,LGA,DFW,1)
(1042,DFW,RDU,1)
(1130,SJU,PHL,1)
(1289,MIA,ORD,1)
(1570,SNA,STL,1)
(1677,ORD,SNA,1)
(1689,BOS,PBI,1)
(1721,ORD,XNA,1)
(1836,MIA,DCA,1)
(1909,MIA,DEN,1)
(2103,BDL,MIA,1)
(2264,ATL,ORD,1)
(2287,DFW,EGE,1)
(2292,LAX,EGE,1)
(2404,LAX,DFW,1)
(53,ANC,OME,1)
(61,SEA,JNU,1)
(61,SEA,JNU,1)
(62,ANC,JNU,1)
(153,ANC,OTZ,1)
(294,GEG,SEA,1)
(344,SEA,SJC,1)
(415,BUR,PDX,1)
(487,SNA,SEA,1)
(561,BUR,SEA,1)
(561,BUR,SEA,1)
(575,SAN,SEA,1)
(107,JFK,OAK,1)
(91,JFK,OAK,1)
(255,LGB,IAD,1)
(221,JFK,LGB,1)
(109,JFK,OAK,1)
(93,JFK,OAK,1)
(183,JFK,SAN,1)
(725,IAH,LGA,1)
(48,OGG,IAH,1)
(1124,MDW,EWR,1)
(15,EWR,HNL,1)
(318,IAH,HDN,1)
(148,EWR,SFO,1)
(1094,EWR,EGE,1)
(1830,ONT,IAH,1)
(7375,ORF,ORD,1)
(7962,GSO,IAD,1)
(7900,IAD,SCE,1)
(7918,MSY,IAD,1)
(7622,ORD,BUF,1)
(7741,ORD,OKC,1)
(7743,ORD,OKC,1)
(7297,ORD,RDU,1)
(7548,GSP,ORD,1)
(7629,PWM,ORD,1)
(7367,IAD,CHS,1)
(7484,ORD,CHS,1)
(7479,GSO,ORD,1)
(351,ATL,PHX,1)
(1027,ATL,VPS,1)
(1177,EWR,ATL,1)
(1877,ATL,VPS,1)
(1915,SDF,ATL,1)
(897,ATL,BTR,1)
(1437,SLC,LAX,1)
(1607,DFW,PDX,1)
(2523,BOS,TPA,1)
(590,ORD,MCO,1)
(691,ORD,DFW,1)
(729,DEN,ABQ,1)
(868,LAS,ORD,1)
(1141,DEN,ANC,1)
(1185,DEN,SAN,1)
(1227,CLE,DEN,1)
(976,PHL,BWI,1)
(1481,STT,CLT,1)
(1269,PBI,DCA,1)
(134,STT,PHL,1)
(344,TPA,PHL,1)
(1250,RDU,PHL,1)
(1828,ABQ,AMA,1)
(2526,ABQ,DAL,1)
(620,AUS,HOU,1)
(954,BNA,LAS,1)
(835,BNA,SAN,1)
(1290,BNA,SAN,1)
(1766,BOI,PDX,1)
(77,BUF,BWI,1)
(135,BWI,MCI,1)
(23,DAL,HOU,1)
(201,DAL,HOU,1)
(1628,DAL,HOU,1)
(20,DAL,LBB,1)
(491,DTW,BNA,1)
(185,ELP,PHX,1)
(16,HOU,DAL,1)
(167,HOU,LAS,1)
(158,LAS,LBB,1)
(2575,LAX,BNA,1)
(33,LIT,DAL,1)
(2546,MCI,MDW,1)
(2560,MCO,MHT,1)
(327,MDW,LAX,1)
(589,MDW,MCI,1)
(2859,MDW,MHT,1)
(547,MSY,HOU,1)
(1020,OAK,PHX,1)
(2257,OKC,MCI,1)
(1615,OKC,STL,1)
(2251,PHX,ABQ,1)
(603,PHX,CMH,1)
(2368,PHX,LAX,1)
(1669,RNO,LAS,1)
(2096,SEA,ABQ,1)
(2484,SJC,LAX,1)
(2028,STL,ABQ,1)
(1646,TPA,MSY,1)
(903,TUL,MCI,1)
(689,PHL,MSP,1)
(692,MOT,MSP,1)
(706,FCA,GTF,1)
(930,HNL,MSP,1)
(954,MEM,MCO,1)
(1026,PHX,MKE,1)
(1040,BIL,MSP,1)
(1051,PIT,MSP,1)
(1118,DTW,RSW,1)
(1523,MSP,MCI,1)
(1568,OMA,MEM,1)
(5146,CVG,SYR,1)
(5400,MCO,CVG,1)
(5167,ATL,FWA,1)
(5138,CAE,LGA,1)
(5140,JFK,CAE,1)
(5321,ATL,MHT,1)
(5329,ATL,AVP,1)
(5331,CVG,AVP,1)
(5336,ATL,AVP,1)
(5437,JAX,LGA,1)
(5073,ATL,BUF,1)
(5526,ATL,SRQ,1)
(5366,ATL,ROC,1)
(5554,GSO,MCO,1)
(5024,FLL,CVG,1)
(5607,SAV,CVG,1)
(5087,BUF,ATL,1)
(3640,SLC,RNO,1)
(3643,RNO,SLC,1)
(3640,SLC,RNO,1)
(3960,SLC,LAX,1)
(3796,DFW,TUL,1)
(6017,PSP,FAT,1)
(3949,SLC,ONT,1)
(6010,ACV,SFO,1)
(3999,PHX,TWF,1)
(4105,JAC,TWF,1)
(6090,LAX,SJC,1)
(6224,SFO,SJC,1)
(3610,SLC,TWF,1)
(2246,ORF,IAH,1)
(2872,IND,IAH,1)
(2054,EWR,MKE,1)
(2098,IAH,TYS,1)
(2843,CLE,MKE,1)
(2707,IAH,AMA,1)
(2092,EWR,IAD,1)
(2719,CHS,IAH,1)
(116,LAX,PIE,1)
(157,ORD,SFO,1)
(180,LAX,BOS,1)
(289,MIA,LAX,1)
(418,DEN,EWR,1)
(1951,LAS,ATL,1)
(975,ORF,ATL,1)
(1510,ATL,FLL,1)
(552,SAT,CVG,1)
(1253,TPA,CVG,1)
(1514,ATL,EWR,1)
(291,ATL,MSY,1)
(2011,DAY,ATL,1)
(2103,ATL,PBI,1)
(2462,FLL,LGA,1)
(1794,ATL,MYR,1)
(2051,MCO,SLC,1)
(214,EGE,ATL,1)
(4417,MGM,DFW,1)
(4484,DFW,JAN,1)
(4498,BNA,DFW,1)
(4512,DFW,BTR,1)
(4539,ATL,GPT,1)
(4581,SAV,DFW,1)
(4582,ABE,ATL,1)
(4646,ATL,PIA,1)
(4845,EYW,ATL,1)
(278,ATL,BOS,1)
(230,PBI,ATL,1)
(588,MCO,ROC,1)
(25,PDX,HNL,1)
(551,PHX,DFW,1)
(587,PHX,GEG,1)
(417,BDL,PHX,1)
(3003,LAX,SBP,1)
(3024,MRY,LAX,1)
(3159,LAX,SJC,1)
(3486,BTR,DFW,1)
(3523,DFW,CLE,1)
(3540,BTR,DFW,1)
(3646,SGF,DFW,1)
(3648,GSO,DFW,1)
(3718,TYS,DFW,1)
(3744,JAN,DFW,1)
(3747,DFW,GSP,1)
(4583,BDL,RDU,1)
(4954,DCA,LGA,1)
(4955,LGA,DCA,1)
(148,MSP,ORD,1)
(393,DTW,SNA,1)
(472,ATL,DTW,1)
(578,MSP,MCO,1)
(102,HNL,DFW,1)
(199,JFK,SEA,1)
(286,LIH,LAX,1)
(290,LGB,JFK,1)
(293,JFK,LGB,1)
(550,DFW,DCA,1)
(633,SJU,DFW,1)
(743,DFW,SEA,1)
(1111,PHL,DFW,1)
